rooms,locationId,multimedia,price,status,size,address,bathrooms,url,district
1,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/b4/6d/57/1115994644.webp', 'tag': 'kitchen'}]}",830.0,good,42.0,calle Iriarte,1,https://www.idealista.com/inmueble/101256138/,salamanca
0,0-EU-ES-28-07-001-079-04-002,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/c2/5d/6a/787650423.webp', 'tag': 'livingRoom'}]}",850.0,good,50.0,"calle del General Pardiñas, 15",1,https://www.idealista.com/inmueble/90296452/,salamanca
0,0-EU-ES-28-07-001-079-04-002,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/ef/90/1b/1301840770.webp', 'tag': 'unknown'}], 'videos': [{'url': 'https://st3v.idealista.com/f6/5e/3a/1301840836.mp4', 'thumbnail': 'https://st3v.idealista.com/f6/5e/3a/d_0_1301840836.jpg', 'multimediaId': 1301840836, 'hasExternalVideoPlayer': False}]}",875.0,good,31.0,calle del Duque de Sesto,1,https://www.idealista.com/inmueble/105814784/,salamanca
1,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/b7/6d/9e/1305837196.webp', 'tag': 'unknown'}]}",900.0,good,30.0,"calle de Francisco Zea, 6",1,https://www.idealista.com/inmueble/90796079/,salamanca
0,0-EU-ES-28-07-001-079-04-005,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/df/0d/dc/1304005633.webp', 'tag': 'bedroom'}]}",900.0,good,38.0,"calle de juan bravo, 58",1,https://www.idealista.com/inmueble/31814162/,salamanca
0,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/dd/ba/f6/51704427.webp', 'tag': 'livingRoom'}]}",900.0,good,40.0,"calle de Cartagena, 86",1,https://www.idealista.com/inmueble/27179502/,salamanca
1,0-EU-ES-28-07-001-079-04-003,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/39/45/a4/1301452440.webp', 'tag': 'facade'}], 'virtual3DTours': [{'url': 'https://www.redpiso.es/visita/67894f6b2d/432441/full-screen?lang=en', 'thumbnail': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/39/45/a4/1301452440.webp', 'category': '360'}]}",925.0,good,32.0,calle de Pedro Heredia,1,https://www.idealista.com/inmueble/107049493/,salamanca
0,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/f7/7a/75/1304265258.webp', 'tag': 'bedroom'}], 'videos': [{'url': 'https://st3v.idealista.com/0e/f3/0b/1304265367.mp4', 'thumbnail': 'https://st3v.idealista.com/0e/f3/0b/d_0_1304265367.jpg', 'multimediaId': 1304265367, 'hasExternalVideoPlayer': False}]}",950.0,good,50.0,avenida de Camilo José Cela,1,https://www.idealista.com/inmueble/107142478/,salamanca
1,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/e4/fb/f6/807554868.webp', 'tag': 'livingRoom'}]}",950.0,good,50.0,"calle de Méjico, 51",1,https://www.idealista.com/inmueble/87402261/,salamanca
0,0-EU-ES-28-07-001-079-04-005,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/3a/2e/c1/1246625009.webp', 'tag': 'kitchen'}]}",990.0,good,41.0,"jose ortega y gasset, 59",1,https://www.idealista.com/inmueble/81716735/,salamanca
0,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/af/bf/d7/1301635519.webp', 'tag': 'swimmingPool'}], 'virtual3DTours': [{'url': 'https://inmoreality.com/Testa/fco_remiro_5-7/?lang=en', 'thumbnail': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/af/bf/d7/1301635519.webp', 'category': '360'}]}",990.0,good,49.0,Neighbourhood: Guindalera,1,https://www.idealista.com/inmueble/107055410/,salamanca
0,0-EU-ES-28-07-001-079-04-005,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/b8/ea/d4/1304594622.webp', 'tag': 'kitchen'}]}",1000.0,good,30.0,calle de Agustina de Aragón,1,https://www.idealista.com/inmueble/107153428/,salamanca
0,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/bb/e9/3a/1291825374.webp', 'tag': 'bedroom'}]}",1000.0,good,40.0,Neighbourhood: Recoletos,1,https://www.idealista.com/inmueble/105882218/,salamanca
1,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/1c/0f/e0/1176010278.webp', 'tag': 'bathroom'}]}",1000.0,good,47.0,Maria Teresa,1,https://www.idealista.com/inmueble/103040328/,salamanca
0,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/96/f0/fe/801982414.webp', 'tag': 'views'}], 'videos': [{'url': 'https://st3v.idealista.com/5b/8b/0c/805008516.mp4', 'thumbnail': 'https://st3v.idealista.com/5b/8b/0c/d_0_805008516.jpg', 'multimediaId': 805008516, 'hasExternalVideoPlayer': False}]}",1000.0,good,40.0,calle de Claudio Coello,1,https://www.idealista.com/inmueble/90912853/,salamanca
0,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/00/54/0e/1300607664.webp', 'tag': 'swimmingPool'}], 'virtual3DTours': [{'url': 'https://inmoreality.com/Testa/fco_remiro_5-7/?lang=en', 'thumbnail': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/00/54/0e/1300607664.webp', 'category': '360'}]}",1025.0,good,51.0,Neighbourhood: Guindalera,1,https://www.idealista.com/inmueble/107020784/,salamanca
